DATE,affordability
1985-06-30,6.644595010779181
1985-07-31,6.297944154648666
1985-08-31,6.379231122683413
1985-09-30,6.453825053337397
1985-10-31,6.470187135389045
1985-11-30,6.582125603864735
1985-12-31,6.578356533453076
1986-01-31,6.443931840166679
1986-02-28,6.6439522998296425
1986-03-31,6.522058823529412
1986-04-30,6.7944762744233875
1986-05-31,6.7507146522025945
1986-06-30,6.670567583382095
1986-07-31,6.85061153174141
1986-08-31,6.648742915273942
1986-09-30,6.880069524913094
1986-10-31,6.978932889307174
1986-11-30,6.7938710610002895
1986-12-31,6.8493150684931505
1987-01-31,7.046283711281207
1987-02-28,6.754647367674187
1987-03-31,6.959473795883726
1987-04-30,7.069597069597069
1987-05-31,7.3727860556648865
1987-06-30,7.648049396575919
1987-07-31,7.33598826241878
