DATE,FF,Fed_fund_pct
1980-03-31,16.66,7.394957983193294
1980-04-30,17.892000000000003,-38.54795439302482
1980-05-31,10.995000000000001,-12.482946793997275
1980-06-30,9.6225,-5.824889581709527
1980-07-31,9.062000000000001,4.364378724343394
1980-08-31,9.4575,11.498810467882638
1980-09-30,10.545,20.113798008534857
1980-10-31,12.666,20.973472288015156
1980-11-30,15.3225,23.034752814488503
1980-12-31,18.852,2.336622109060047
1981-01-31,19.2925,-16.457172476350916
1981-02-28,16.1175,-8.686210640608026
1981-03-31,14.717500000000001,5.343978257176819
1981-04-30,15.504,20.485036119711044
1981-05-31,18.68,1.7532119914346926
1981-06-30,19.0075,0.08680783901092004
1981-07-31,19.024,-5.198696383515563
1981-08-31,18.035,-11.494316606598282
1981-09-30,15.962,-5.118406214760056
1981-10-31,15.145,-10.217893694288541
1981-11-30,13.5975,-9.174480603052034
1981-12-31,12.35,5.951417004048594
1982-01-31,13.085,13.54604508979747
1982-02-28,14.8575,-2.0292781423523407
1982-03-31,14.556000000000001,2.2945864248419747
1982-04-30,14.889999999999999,-1.1584956346541146
1982-05-31,14.717500000000001,-4.535417020553765
1982-06-30,14.05,-9.590747330960854
1982-07-31,12.7025,-18.91359968510137
1982-08-31,10.299999999999999,-0.9902912621359256
1982-09-30,10.197999999999999,-3.559521474798976
1982-10-31,9.834999999999999,-4.931367564819516
1982-11-30,9.35,-6.160427807486637
1982-12-31,8.774,1.322087987235029
1983-01-31,8.89,-4.0494938132733544
1983-02-28,8.53,1.3599062133646125
1983-03-31,8.646,2.561878325237091
1983-04-30,8.8675,-2.480969833662237
1983-05-31,8.6475,2.896790980052024
1983-06-30,8.898,5.332659024499897
1983-07-31,9.3725,1.9365164043744783
1983-08-31,9.553999999999998,-1.6380573581745623
1983-09-30,9.3975,1.5695663740356378
1983-10-31,9.545,-2.126767941330552
1983-11-30,9.341999999999999,0.5940912010276208
1983-12-31,9.397499999999999,2.8465017291832946
1984-01-31,9.665,-1.2105535437144244
1984-02-29,9.548,3.529534981147882
1984-03-31,9.885,3.41426403641882
1984-04-30,10.2225,1.2081193445830272
1984-05-31,10.346,7.118693214768988
