DATE,INDPRO
1980-07-31,49.9462
1980-08-31,50.1256
1980-09-30,50.9386
1980-10-31,51.5813
1980-11-30,52.4717
1980-12-31,52.7685
1981-01-31,52.4668
1981-02-28,52.226
1981-03-31,52.5025
1981-04-30,52.2691
1981-05-31,52.5803
1981-06-30,52.8284
1981-07-31,53.1751
1981-08-31,53.1679
1981-09-30,52.8514
1981-10-31,52.4949
1981-11-30,51.894
1981-12-31,51.3274
1982-01-31,50.3043
1982-02-28,51.3016
1982-03-31,50.9104
1982-04-30,50.4627
1982-05-31,50.138
1982-06-30,49.9692
1982-07-31,49.8138
1982-08-31,49.3773
1982-09-30,49.226
1982-10-31,48.7874
1982-11-30,48.592
1982-12-31,48.2424
1983-01-31,49.1762
1983-02-28,48.8688
1983-03-31,49.2654
1983-04-30,49.8675
1983-05-31,50.2084
1983-06-30,50.5089
1983-07-31,51.2733
1983-08-31,51.8454
1983-09-30,52.6303
1983-10-31,53.0679
1983-11-30,53.2534
1983-12-31,53.5343
1984-01-31,54.6008
1984-02-29,54.835
1984-03-31,55.1052
1984-04-30,55.4514
1984-05-31,55.7141
1984-06-30,55.9085
1984-07-31,56.0842
1984-08-31,56.1376
1984-09-30,56.0382
1984-10-31,55.9459
1984-11-30,56.1667
1984-12-31,56.2296
1985-01-31,56.1398
1985-02-28,56.3323
1985-03-31,56.4232
1985-04-30,56.2693
1985-05-31,56.3488
1985-06-30,56.3901
1985-07-31,56.0234
1985-08-31,56.2555
1985-09-30,56.4983
1985-10-31,56.2648
1985-11-30,56.4549
1985-12-31,57.0458
1986-01-31,57.3104
1986-02-28,56.9344
1986-03-31,56.542
1986-04-30,56.5599
1986-05-31,56.6823
1986-06-30,56.4976
1986-07-31,56.814
1986-08-31,56.7381
1986-09-30,56.8532
1986-10-31,57.1191
1986-11-30,57.3792
1986-12-31,57.8623
1987-01-31,57.685
1987-02-28,58.4399
1987-03-31,58.516
1987-04-30,58.8851
1987-05-31,59.2653
1987-06-30,59.5409
1987-07-31,59.9536
1987-08-31,60.4517
1987-09-30,60.6069
1987-10-31,61.491
1987-11-30,61.8137
1987-12-31,62.119
1988-01-31,62.1469
1988-02-29,62.4169
